record_date,margin_debt,free_credit_cash,free_credit_margin
2026-05-01,1415557,206600,217256
2026-04-01,1304281,217836,215445
2026-03-01,1220922,221860,205600
2026-02-01,1253192,205060,200047
2026-01-01,1279042,203700,196911
2025-12-01,1225597,211720,199762
2025-11-01,1214321,202131,194418
2025-10-01,1183654,197923,195376
2025-09-01,1126494,204106,194884
2025-08-01,1059723,188221,181563
2025-07-01,1022548,194712,186672
2025-06-01,1007961,200573,185584
2025-05-01,920960,187685,176698
2025-04-01,850558,187958,175824
2025-03-01,880316,189855,176161
2025-02-01,918144,183278,176051
2025-01-01,937253,178301,166346
2024-12-01,899168,181280,175795
2024-11-01,890852,170052,167223
2024-10-01,815369,173621,164813
2024-09-01,813211,167901,158358
2024-08-01,797162,148702,152107
2024-07-01,810835,154951,150738
2024-06-01,809322,157240,149714
2024-05-01,809431,155256,145072
2024-04-01,775464,161749,149855
2024-03-01,784136,166990,151339
2024-02-01,742963,166144,150620
2024-01-01,701975,165025,144941
2023-12-01,700774,161639,147019
2023-11-01,660887,171207,146319
2023-10-01,635276,162865,142117
2023-09-01,680846,153918,141751
2023-08-01,689185,177711,145989
2023-07-01,709834,174804,147921
2023-06-01,681228,181569,145173
2023-05-01,644170,178576,147377
2023-04-01,631949,175460,145594
2023-03-01,645429,191618,152014
2023-02-01,624379,198644,159103
2023-01-01,641228,208720,161224
2022-12-01,606659,205902,164065
2022-11-01,643783,205158,165434
2022-10-01,649618,216057,172976
2022-09-01,664009,223400,173050
2022-08-01,687787,226182,175974
2022-07-01,696781,232147,177054
2022-06-01,683445,249399,186931
2022-05-01,752944,244857,184151
2022-04-01,772940,242724,188652
2022-03-01,799660,256076,196008
2022-02-01,835255,250686,195269
2022-01-01,829637,247752,194545
2021-12-01,910021,250435,215116
2021-11-01,918598,235638,211623
2021-10-01,935862,226159,200548
2021-09-01,903117,229279,205564
2021-08-01,911545,219365,198913
2021-07-01,844324,215463,195762
2021-06-01,882103,221862,239290
2021-05-01,861626,213356,234992
2021-04-01,847186,218132,233145
2021-03-01,822551,219522,237154
2021-02-01,813680,220840,240481
2021-01-01,798605,224133,241220
2020-12-01,778037,224987,227127
2020-11-01,722118,200723,221567
2020-10-01,659313,193293,217739
2020-09-01,654324,189462,211547
2020-08-01,645547,185113,215042
2020-07-01,613830,181420,223768
2020-06-01,584676,185497,229078
2020-05-01,552543,175794,210935
2020-04-01,524696,180942,217187
2020-03-01,479291,191046,226202
2020-02-01,545127,163001,197716
2020-01-01,561812,152854,186847
2019-12-01,579221,151543,186315
2019-11-01,563482,146935,186866
2019-10-01,554604,145650,183966
2019-09-01,555910,150648,187887
2019-08-01,564894,135567,181451
2019-07-01,602139,138703,182613
2019-06-01,596304,139826,179542
2019-05-01,568751,137489,179019
2019-04-01,588721,143802,178523
2019-03-01,574013,141074,180765
2019-02-01,581205,149686,181955
2019-01-01,568433,151804,186050
2018-12-01,554285,159572,190743
2018-11-01,592593,146452,178810
2018-10-01,607645,148037,183432
2018-09-01,648126,151384,188152
2018-08-01,652395,148873,178601
2018-07-01,652790,148947,178299
2018-06-01,646931,157150,179399
2018-05-01,668940,155344,181890
2018-04-01,652303,155989,179410
2018-03-01,645235,166148,180751
2018-02-01,645064,164657,183267
2018-01-01,665716,168450,181763
2017-12-01,642798,172999,182773
2017-11-01,627422,170948,185312
2017-10-01,607838,169368,184047
2017-09-01,606334,172872,183599
2017-08-01,596567,170524,183744
2017-07-01,594414,173195,184246
2017-06-01,584258,176707,187500
2017-05-01,582764,176970,185463
2017-04-01,590797,180908,184930
2017-03-01,577674,186892,184977
2017-02-01,568637,185720,184598
2017-01-01,553557,186301,186029
2016-12-01,529372,188062,189979
2016-11-01,539972,179598,187085
2016-10-01,523760,182051,182986
2016-09-01,540615,184757,182833
2016-08-01,510157,177764,185695
2016-07-01,513221,183435,188155
2016-06-01,487636,186233,189585
2016-05-01,489867,177161,187495
2016-04-01,495178,176016,187000
2016-03-01,483909,182673,172525
2016-02-01,474156,178989,168308
2016-01-01,487200,180616,162825
2015-12-01,503444,181812,159677
2015-11-01,515410,174607,165584
2015-10-01,513941,174437,163210
2015-09-01,497279,173760,167132
2015-08-01,515960,175647,168692
2015-07-01,530744,168659,169132
2015-06-01,547957,170614,168441
2015-05-01,541671,166334,169076
2015-04-01,549964,168430,167073
2015-03-01,518055,171625,170074
2015-02-01,504923,168371,170930
2015-01-01,485872,163599,178259
2014-12-01,495756,169295,181223
2014-11-01,496341,158420,184227
2014-10-01,492888,158624,185193
2014-09-01,503901,161621,183243
2014-08-01,501000,155245,180820
2014-07-01,498671,155931,177981
2014-06-01,502270,160293,184723
2014-05-01,475362,150474,188551
2014-04-01,475195,149801,194679
2014-03-01,487932,156083,194461
2014-02-01,502093,154049,190312
2014-01-01,487549,151878,195863
2013-12-01,478502,157000,197521
2013-11-01,456378,150214,199153
2013-10-01,445022,151494,199889
2013-09-01,432852,149895,197780
2013-08-01,414442,143808,195181
2013-07-01,412101,144495,194790
2013-06-01,407681,150093,200308
2013-05-01,401606,146765,199756
2013-04-01,408677,140706,191719
2013-03-01,403933,144530,197887
2013-02-01,390351,142123,208682
2013-01-01,388123,142856,199709
2012-12-01,355009,162206,211576
2012-11-01,351441,135650,202425
2012-10-01,342325,124800,200406
2012-09-01,339159,129389,205176
2012-08-01,320395,124276,196786
2012-07-01,313525,124330,194741
2012-06-01,320952,138937,192149
2012-05-01,315147,139111,187938
2012-04-01,335154,138909,182021
2012-03-01,330815,142297,182814
2012-02-01,323021,139609,177639
2012-01-01,309844,137309,174889
2011-12-01,301616,142533,189143
2011-11-01,303930,132934,188259
2011-10-01,317028,133639,188141
2011-09-01,298277,141806,204307
2011-08-01,308866,135508,193533
2011-07-01,344572,138316,182957
2011-06-01,345273,139575,183547
2011-05-01,355736,133727,175508
2011-04-01,360883,133131,175399
2011-03-01,355413,133386,170139
2011-02-01,348979,135760,179102
2011-01-01,326868,130894,173545
2010-12-01,313678,126098,182426
2010-11-01,309340,119305,176805
2010-10-01,303428,114784,176588
2010-09-01,288540,114321,173544
2010-08-01,268371,106870,174209
2010-07-01,267468,106290,172179
2010-06-01,263202,114265,172908
2010-05-01,268566,114051,166706
2010-04-01,295550,111217,160630
2010-03-01,277798,108908,162169
2010-02-01,263657,106131,164624
2010-01-01,266455,281035,null
2009-12-01,262399,281043,null
2009-11-01,250988,284071,null
2009-10-01,265404,299858,null
2009-09-01,254107,287196,null
2009-08-01,236251,281989,null
2009-07-01,228734,277082,null
2009-06-01,217140,283874,null
2009-05-01,214401,275313,null
2009-04-01,208010,285658,null
2009-03-01,203967,291927,null
2009-02-01,199655,310503,null
2009-01-01,205007,316763,null
2008-12-01,210185,345713,null
2008-11-01,227334,364232,null
2008-10-01,277568,383429,null
2008-09-01,345745,381702,null
2008-08-01,324814,530042,null
2008-07-01,343297,519226,null
2008-06-01,346892,499634,null
2008-05-01,341610,470188,null
2008-04-01,332303,472371,null
2008-03-01,349419,488831,null
2008-02-01,377088,454785,null
2008-01-01,365592,474496,null
2007-12-01,355292,456353,null
2007-11-01,379593,426721,null
2007-10-01,376979,392543,null
2007-09-01,359104,377364,null
2007-08-01,362475,381550,null
2007-07-01,416403,380971,null
2007-06-01,408444,347617,null
2007-05-01,382312,334359,null
2007-04-01,342084,314744,null
2007-03-01,317737,305479,null
2007-02-01,321171,300072,null
2007-01-01,311506,292521,null
2006-12-01,303288,299023,null
2006-11-01,294899,290910,null
2006-10-01,267710,267462,null
2006-09-01,261769,268612,null
2006-08-01,249368,269423,null
2006-07-01,256016,269376,null
2006-06-01,251495,280275,null
2006-05-01,255608,264307,null
2006-04-01,265164,259342,null
2006-03-01,259370,258928,null
2006-02-01,249609,257573,null
2006-01-01,255795,255819,null
2005-12-01,244098,263205,null
2005-11-01,242904,241695,null
2005-10-01,239868,243174,null
2005-09-01,244669,238929,null
2005-08-01,231400,225410,null
2005-07-01,233585,224242,null
2005-06-01,224153,234352,null
2005-05-01,219404,224933,null
2005-04-01,217447,223839,null
2005-03-01,226876,234533,null
2005-02-01,223155,224392,null
2005-01-01,220122,230624,null
2004-12-01,217573,238192,null
2004-11-01,211012,223928,null
2004-10-01,197999,218090,null
2004-09-01,193668,220860,null
2004-08-01,187828,217945,null
2004-07-01,187844,220196,null
2004-06-01,193993,220781,null
2004-05-01,193843,219640,null
2004-04-01,198778,217992,null
2004-03-01,191451,203953,null
2004-02-01,190448,200323,null
2004-01-01,189429,198628,null
2003-12-01,181459,199297,null
2003-11-01,182587,184899,null
2003-10-01,175428,191554,null
2003-09-01,171194,189826,null
2003-08-01,167200,188112,null
2003-07-01,174427,199973,null
2003-06-01,168281,190026,null
2003-05-01,153725,178946,null
2003-04-01,143237,168756,null
2003-03-01,144267,176955,null
2003-02-01,140516,179925,null
2003-01-01,141391,179528,null
2002-12-01,139451,184715,null
2002-11-01,139472,176062,null
2002-10-01,138647,181069,null
2002-09-01,136107,180997,null
2002-08-01,139146,174995,null
2002-07-01,143905,183326,null
2002-06-01,153972,178744,null
2002-05-01,157802,173395,null
2002-04-01,159072,175730,null
2002-03-01,160089,180578,null
2002-02-01,154931,186919,null
2002-01-01,160906,189841,null
2001-12-01,160473,197424,null
2001-11-01,159440,188441,null
2001-10-01,152367,187012,null
2001-09-01,157931,211281,null
2001-08-01,169316,191219,null
2001-07-01,173680,185100,null
2001-06-01,179585,187602,null
2001-05-01,183041,183493,null
2001-04-01,176096,191145,null
2001-03-01,174797,198581,null
2001-02-01,198887,193266,null
2001-01-01,208687,187225,null
2000-12-01,210385,198179,null
2000-11-01,237913,186459,null
2000-10-01,250965,172738,null
2000-09-01,270208,160964,null
2000-08-01,265166,156775,null
2000-07-01,263729,163050,null
2000-06-01,264471,153050,null
2000-05-01,256862,153843,null
2000-04-01,268716,156868,null
2000-03-01,299933,168002,null
2000-02-01,284206,153540,null
2000-01-01,260409,148567,null
1999-12-01,241967,146582,null